SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPM
1,31-Mar-20,EQ,853.8,873.6,838,831.65,857.95,861.9,854.73,"2,503.30",738.75,17605997,"15,048,445,041.15",411360,17.95625,1,96.97,222.84,22.3
2,1-Apr-20,EQ,863.85,863.85,820,861.9,829.55,829.65,831.99,"2,503.30",738.75,14551758,"12,106,933,301.25",354947,17.284375,1,96.97,222.84,22.3
3,3-Apr-20,EQ,843,844,810,829.65,811,813.85,825.26,"2,503.30",738.75,17499063,"14,441,317,976.20",392455,16.95520833,1,96.97,222.84,22.3
4,7-Apr-20,EQ,874,907.3,845.35,813.85,895.8,896.1,871.57,"2,503.30",738.75,30206626,"26,327,315,325.80",475198,18.66875,1,96.97,222.84,22.3
5,8-Apr-20,EQ,879.95,945,866.1,896.1,888.7,888.9,902.09,"2,503.30",738.75,28109877,"25,357,609,084.60",503019,18.51875,1,96.97,222.84,22.3
6,9-Apr-20,EQ,913,930.9,890,888.9,922.1,925.05,913.38,"2,503.30",738.75,22229012,"20,303,462,865.40",417910,19.271875,1,96.97,222.84,22.3
7,13-Apr-20,EQ,934,946.7,886.2,925.05,897.8,895.35,907.82,"2,503.30",738.75,17079259,"15,504,828,498.50",389148,18.653125,1,96.97,222.84,22.3
8,15-Apr-20,EQ,930.5,930.5,843,895.35,865.15,863.3,885.42,"2,503.30",738.75,28989523,"25,667,931,187.70",517354,17.98541667,1,96.97,222.84,22.3
9,16-Apr-20,EQ,865,890.7,856.25,863.3,884.25,879.75,870.76,"2,503.30",738.75,26927231,"23,447,030,480.50",467724,18.328125,1,96.97,222.84,22.3
10,17-Apr-20,EQ,915,920,887.25,879.75,915.1,910.3,906.63,"2,503.30",738.75,27941831,"25,333,029,144.80",453652,18.96458333,1,96.97,222.84,22.3
11,20-Apr-20,EQ,951,960.95,935,910.3,943.3,944.85,945.7,"2,503.30",738.75,33116614,"31,318,495,817.80",555965,19.684375,1,96.97,222.84,22.3
12,21-Apr-20,EQ,925,934,908,944.85,919.15,921.65,922.24,"2,503.30",738.75,16589148,"15,299,196,199.55",291815,19.20104167,1,96.97,222.84,22.3
13,22-Apr-20,EQ,919.15,933,907.3,921.65,929.75,928.6,920.24,"2,503.30",738.75,19144678,"17,617,671,415.90",258479,19.34583333,1,96.97,222.84,22.3
14,23-Apr-20,EQ,935,958.5,912.55,928.6,952.1,954.95,939.81,"2,503.30",738.75,20450895,"19,219,911,302.15",424855,19.89479167,1,96.97,222.84,22.3
15,24-Apr-20,EQ,933,958.4,926,954.95,937,938.05,938.02,"2,503.30",738.75,16642831,"15,611,268,244.20",293787,19.54270833,1,96.97,222.84,22.3
16,27-Apr-20,EQ,945.15,957.4,926.3,938.05,929.95,929.7,941.28,"2,503.30",738.75,13710727,"12,905,669,876.50",266336,19.36875,1,96.97,222.84,22.3
