SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPM
1,31-Mar-20,EQ,650,662,633.7,626.7,639.6,641.5,647.8,847,509.25,15175528,"9,830,768,498.10",279311,16.46138055,5,52.51,214.09,18.27
2,1-Apr-20,EQ,634.35,637.5,594,641.5,603.9,602.8,611.89,847,509.25,13083865,"8,005,888,360.85",379235,15.46830896,5,52.51,214.09,18.27
3,3-Apr-20,EQ,603.5,606,582.15,602.8,588.5,585.7,592.53,847,509.25,10221890,"6,056,725,607.95",261228,15.02950988,5,52.51,214.09,18.27
4,7-Apr-20,EQ,615,644.25,612.9,585.7,633.8,639,627.65,847,509.25,15146526,"9,506,714,566.30",260480,16.39722864,5,52.51,214.09,18.27
5,8-Apr-20,EQ,630,655.65,626.35,639,632.25,631.6,637.44,847,509.25,11806901,"7,526,162,135.55",235881,16.20733898,5,52.51,214.09,18.27
6,9-Apr-20,EQ,646.8,652.8,632.1,631.6,635.6,636.25,640.28,847,509.25,11931287,"7,639,338,597.25",232901,16.32666153,5,52.51,214.09,18.27
7,13-Apr-20,EQ,629,651.7,626.05,636.25,637,637.4,641.21,847,509.25,8330291,"5,341,425,789.00",232090,16.35617141,5,52.51,214.09,18.27
8,15-Apr-20,EQ,651.4,653.3,635.6,637.4,640,639.05,645.85,847,509.25,11963493,"7,726,657,236.85",278339,16.39851168,5,52.51,214.09,18.27
9,16-Apr-20,EQ,619.95,634.9,603.5,639.05,626.9,623.85,620.5,847,509.25,17783310,"11,034,508,894.50",254606,16.00846805,5,52.51,214.09,18.27
10,17-Apr-20,EQ,644,646,626,623.85,634.2,628.75,633.5,847,509.25,8878372,"5,624,422,628.20",220448,16.1342058,5,52.51,214.09,18.27
11,20-Apr-20,EQ,640,661,639,628.75,650.95,653.3,653.71,847,509.25,13322995,"8,709,344,590.30",220363,16.76417757,5,52.51,214.09,18.27
12,21-Apr-20,EQ,627.8,646.5,627.8,653.3,633,633.2,638.34,847,509.25,11660678,"7,443,524,923.00",195803,16.2483962,5,52.51,214.09,18.27
13,22-Apr-20,EQ,633.2,645,628.05,633.2,641.5,641.85,639.85,847,509.25,8267159,"5,289,759,466.35",148917,16.47036182,5,52.51,214.09,18.27
14,23-Apr-20,EQ,647.05,683.65,638.1,641.85,675,679.3,665.09,847,509.25,14451294,"9,611,440,870.60",225884,17.43135745,5,52.51,214.09,18.27
15,24-Apr-20,EQ,668.55,675,654.8,679.3,660.95,658,662.5,847,509.25,7319950,"4,849,470,612.45",162251,16.88478317,5,52.51,214.09,18.27
16,27-Apr-20,EQ,661.05,681,661.05,658,665.1,664.6,670.63,847,509.25,7183316,"4,817,370,467.65",143869,17.05414421,5,52.51,214.09,18.27
17,28-Apr-20,EQ,673,677,653.05,664.6,664.05,660.7,659.88,847,509.25,7296594,"4,814,874,278.60",128788,16.95406723,5,52.51,214.09,18.27
18,29-Apr-20,EQ,666,682,658,660.7,678,676.55,671.94,847,509.25,8639246,"5,805,084,866.05",175742,17.36079035,5,52.51,214.09,18.27
