SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPM
1,31-Mar-20,EQ,"1,073.95","1,129.80","1,048.00","1,030.45","1,100.00","1,113.75","1,093.37","1,617.55",875.65,20249909,"22,140,676,568.55",506536,20.08566276,10,83.33,531.53,9.17
2,1-Apr-20,EQ,"1,122.25","1,124.60","1,045.20","1,113.75","1,084.00","1,080.45","1,072.84","1,617.55",875.65,19017099,"20,402,365,414.20",414675,19.48512173,10,83.33,531.53,9.17
3,3-Apr-20,EQ,"1,134.45","1,134.45","1,056.30","1,080.45","1,088.00","1,077.45","1,077.52","1,617.55",875.65,18912044,"20,378,095,229.65",519365,19.43101894,10,83.33,531.53,9.17
4,7-Apr-20,EQ,"1,102.10","1,214.00","1,100.00","1,077.45","1,211.00","1,206.10","1,161.27","1,617.55",875.65,24859057,"28,867,992,303.70",556669,21.75112714,10,83.33,531.53,9.17
5,8-Apr-20,EQ,"1,180.00","1,229.00","1,160.00","1,206.10","1,197.00","1,192.15","1,194.60","1,617.55",875.65,22803774,"27,241,443,067.90",538577,21.49954914,10,83.33,531.53,9.17
6,9-Apr-20,EQ,"1,214.00","1,232.80","1,193.00","1,192.15","1,217.75","1,219.95","1,214.91","1,617.55",875.65,15101711,"18,347,214,247.30",368355,22.00090171,10,83.33,531.53,9.17
7,13-Apr-20,EQ,"1,203.95","1,215.00","1,180.00","1,219.95","1,192.50","1,189.15","1,191.64","1,617.55",875.65,10822871,"12,896,993,488.10",263593,21.44544635,10,83.33,531.53,9.17
8,15-Apr-20,EQ,"1,197.05","1,236.00","1,143.00","1,189.15","1,157.50","1,149.85","1,191.73","1,617.55",875.65,16147959,"19,243,981,630.60",404270,20.73669973,10,83.33,531.53,9.17
9,16-Apr-20,EQ,"1,149.85","1,187.45","1,145.00","1,149.85","1,170.00","1,168.05","1,172.19","1,617.55",875.65,17123533,"20,071,955,511.50",387003,21.06492335,10,83.33,531.53,9.17
10,17-Apr-20,EQ,"1,216.00","1,230.00","1,192.65","1,168.05","1,229.90","1,224.00","1,208.12","1,617.55",875.65,15209707,"18,375,116,205.00",322391,22.07394049,10,83.33,531.53,9.17
11,20-Apr-20,EQ,"1,226.00","1,257.00","1,202.00","1,224.00","1,248.10","1,243.80","1,228.75","1,617.55",875.65,16472339,"20,240,404,168.15",365965,22.43101894,10,83.33,531.53,9.17
12,21-Apr-20,EQ,"1,210.00","1,252.00","1,164.00","1,243.80","1,251.50","1,237.35","1,204.07","1,617.55",875.65,28057706,"33,783,478,000.15",573205,22.31469793,10,83.33,531.53,9.17
13,22-Apr-20,EQ,"1,320.00","1,384.90","1,300.00","1,237.35","1,359.00","1,363.60","1,341.48","1,617.55",875.65,65230894,"87,505,942,711.40",1194059,24.5915239,10,83.33,531.53,9.17
14,23-Apr-20,EQ,"1,367.35","1,385.85","1,353.30","1,363.60","1,370.15","1,370.90","1,369.10","1,617.55",875.65,29928331,"40,974,916,120.55",612506,24.72317403,10,83.33,531.53,9.17
15,24-Apr-20,EQ,"1,350.15","1,494.95","1,347.20","1,370.90","1,425.80","1,417.00","1,431.67","1,617.55",875.65,61711388,"88,350,296,135.65",1154959,25.55455365,10,83.33,531.53,9.17
16,27-Apr-20,EQ,"1,434.00","1,475.00","1,423.00","1,417.00","1,431.00","1,429.75","1,448.31","1,617.55",875.65,26736512,"38,722,699,504.95",594518,25.78449053,10,83.33,531.53,9.17
17,28-Apr-20,EQ,"1,450.00","1,455.45","1,392.15","1,429.75","1,430.00","1,428.15","1,421.22","1,617.55",875.65,35866381,"50,974,111,340.65",746066,25.75563571,10,83.33,531.53,9.17
18,29-Apr-20,EQ,"1,444.90","1,453.65","1,420.00","1,428.15","1,427.00","1,426.95","1,436.42","1,617.55",875.65,17141540,"24,622,404,116.35",389293,25.73399459,10,83.33,531.53,9.17
19,30-Apr-20,EQ,"1,453.95","1,494.95","1,438.05","1,426.95","1,464.00","1,466.00","1,467.88","1,617.55",875.65,32617901,"47,879,255,960.05",663204,26.43823264,10,83.33,531.53,9.17
20,4-May-20,EQ,"1,440.00","1,465.00","1,417.45","1,466.00","1,435.00","1,435.20","1,442.94","1,617.55",875.65,24439240,"35,264,364,750.75",544309,25.88277728,10,83.33,531.53,9.17
21,5-May-20,EQ,"1,453.70","1,479.00","1,447.20","1,435.20","1,462.65","1,460.65","1,464.23","1,617.55",875.65,20528706,"30,058,697,949.35",412545,26.34174932,10,83.33,531.53,9.17
22,6-May-20,EQ,"1,464.00","1,484.95","1,445.50","1,460.65","1,461.50","1,460.75","1,468.54","1,617.55",875.65,18510304,"27,183,196,663.05",425042,26.34355275,10,83.33,531.53,9.17
23,7-May-20,EQ,"1,455.00","1,513.65","1,445.00","1,460.75","1,512.00","1,506.95","1,484.86","1,617.55",875.65,22871529,"33,961,065,996.95",465254,27.1767358,10,83.33,531.53,9.17
24,8-May-20,EQ,"1,545.00","1,579.90","1,537.10","1,506.95","1,559.45","1,561.80","1,560.62","1,617.55",875.65,38522385,"60,118,628,770.50",727915,28.16591524,10,83.33,531.53,9.17
25,11-May-20,EQ,"1,580.00","1,615.00","1,572.30","1,561.80","1,575.00","1,576.80","1,592.89","1,617.55",875.65,30670404,"48,854,566,347.85",576001,28.43642922,10,83.33,531.53,9.17
26,12-May-20,EQ,"1,564.80","1,568.35","1,465.00","1,576.80","1,486.45","1,479.25","1,511.39","1,617.55",875.65,46029119,"69,568,011,663.15",807575,26.67718665,10,83.33,531.53,9.17
27,13-May-20,EQ,"1,527.00","1,527.00","1,454.00","1,479.25","1,492.50","1,496.45","1,481.10","1,617.55",875.65,30658051,"45,407,632,804.00",615366,26.98737601,10,83.33,531.53,9.17
28,14-May-20,EQ,"1,469.00","1,496.70","1,430.05","1,496.45","1,437.00","1,435.95","1,457.61","1,617.55",875.65,22736714,"33,141,191,470.35",494402,25.89630298,10,83.33,531.53,9.17
29,15-May-20,EQ,"1,444.00","1,466.70","1,415.10","1,435.95","1,453.20","1,459.40","1,439.85","1,617.55",875.65,28683432,"41,299,828,010.10",592403,26.31920649,10,83.33,531.53,9.17
30,18-May-20,EQ,"1,470.00","1,482.00","1,428.00","1,459.40","1,442.55","1,440.75","1,452.86","1,617.55",875.65,28981620,"42,106,270,200.25",575336,25.98286745,10,83.33,531.53,9.17
31,19-May-20,EQ,"1,457.00","1,461.70","1,403.25","1,440.75","1,409.10","1,408.90","1,436.68","1,617.55",875.65,19529216,"28,057,214,575.20",424987,25.4084761,10,83.33,531.53,9.17
32,20-May-20,EQ,"1,410.00","1,446.85","1,393.00","1,408.90","1,437.40","1,433.70","1,426.52","1,617.55",875.65,25530692,"36,419,940,581.50",446373,25.85572588,10,83.33,531.53,9.17
33,21-May-20,EQ,"1,435.00","1,461.45","1,425.00","1,433.70","1,440.00","1,441.25","1,443.94","1,617.55",875.65,18077196,"26,102,458,753.25",353235,25.99188458,10,83.33,531.53,9.17
34,22-May-20,EQ,"1,451.80","1,458.00","1,426.50","1,441.25","1,433.00","1,431.55","1,442.31","1,617.55",875.65,17458503,"25,180,593,225.25",388907,25.81695221,10,83.33,531.53,9.17
35,26-May-20,EQ,"1,448.15","1,449.70","1,416.30","1,431.55","1,426.00","1,424.05","1,428.70","1,617.55",875.65,15330793,"21,903,166,112.45",341795,25.68169522,10,83.33,531.53,9.17
36,27-May-20,EQ,"1,431.00","1,454.00","1,412.00","1,424.05","1,449.85","1,445.55","1,430.20","1,617.55",875.65,16460764,"23,542,230,514.25",348477,26.06943192,10,83.33,531.53,9.17
37,28-May-20,EQ,"1,455.00","1,479.75","1,449.00","1,445.55","1,471.05","1,472.25","1,467.50","1,617.55",875.65,18519252,"27,176,980,636.40",405603,26.5509468,10,83.33,531.53,9.17
38,29-May-20,EQ,"1,468.00","1,472.00","1,452.65","1,472.25","1,470.00","1,464.40","1,462.79","1,617.55",875.65,18471770,"27,020,285,851.40",300018,26.40937782,10,83.33,531.53,9.17
39,1-Jun-20,EQ,"1,480.00","1,538.35","1,475.95","1,464.40","1,521.90","1,520.35","1,512.99","1,617.55",875.65,18434065,"27,890,475,620.10",354436,27.41839495,10,83.33,531.53,9.17
40,2-Jun-20,EQ,"1,526.00","1,540.00","1,520.80","1,520.35","1,537.95","1,535.70","1,531.68","1,617.55",875.65,10224102,"15,660,044,883.85",224472,27.69522092,10,83.33,531.53,9.17
41,3-Jun-20,EQ,"1,545.00","1,560.00","1,533.35","1,535.70","1,543.00","1,541.65","1,543.74","1,617.55",875.65,11713666,"18,082,824,556.40",227825,27.8025248,10,83.33,531.53,9.17
42,4-Jun-20,EQ,"1,544.00","1,589.50","1,541.00","1,541.65","1,576.00","1,579.80","1,570.24","1,617.55",875.65,15784612,"24,785,560,880.55",356122,28.49053201,10,83.33,531.53,9.17
43,5-Jun-20,EQ,"1,595.00","1,618.00","1,573.70","1,579.80","1,579.20","1,581.70","1,596.41","1,618.00",875.65,15270435,"24,377,905,391.85",339237,28.52479711,10,83.33,531.53,9.17
44,8-Jun-20,EQ,"1,618.40","1,618.40","1,565.00","1,581.70","1,571.80","1,569.50","1,588.27","1,618.40",875.65,14498055,"23,026,897,486.70",322987,28.30477908,10,83.33,531.53,9.17
45,9-Jun-20,EQ,"1,560.30","1,583.00","1,533.00","1,569.50","1,535.90","1,537.15","1,555.91","1,618.40",875.65,11934073,"18,568,335,407.30",307011,27.7213706,10,83.33,531.53,9.17
46,10-Jun-20,EQ,"1,543.10","1,579.55","1,540.05","1,537.15","1,575.00","1,572.15","1,556.73","1,618.40",875.65,10214426,"15,901,058,050.65",262174,28.35256988,10,83.33,531.53,9.17
47,11-Jun-20,EQ,"1,566.00","1,567.95","1,531.00","1,572.15","1,538.80","1,537.70","1,546.33","1,618.40",875.65,9408283,"14,548,302,924.85",269490,27.73128945,10,83.33,531.53,9.17
48,12-Jun-20,EQ,"1,500.00","1,593.00","1,497.00","1,537.70","1,588.70","1,588.80","1,552.68","1,618.40",875.65,17790565,"27,623,018,097.70",337575,28.6528404,10,83.33,531.53,9.17
49,15-Jun-20,EQ,"1,565.00","1,626.95","1,561.10","1,588.80","1,612.30","1,614.55","1,593.39","1,626.95",875.65,24509162,"39,052,737,198.75",467105,29.11722272,10,83.33,531.53,9.17
50,16-Jun-20,EQ,"1,643.00","1,648.55","1,585.30","1,614.55","1,614.05","1,617.70","1,617.17","1,648.55",875.65,23623299,"38,202,982,642.70",424919,29.17403066,10,83.33,531.53,9.17
51,17-Jun-20,EQ,"1,608.25","1,635.45","1,602.10","1,617.70","1,611.85","1,615.35","1,618.64","1,648.55",875.65,19282519,"31,211,518,938.20",299203,29.13165014,10,83.33,531.53,9.17
